date,price,gpu_name
2023-10-21,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-22,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-23,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-24,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-25,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-26,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-27,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-28,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-29,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-30,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-10-31,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-01,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-02,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-03,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-04,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-05,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-06,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-07,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-08,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-09,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-10,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-11,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-12,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-13,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-14,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-15,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-16,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-17,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-18,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-19,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-20,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-21,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-22,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-23,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-24,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-25,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-26,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-27,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-28,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-29,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-11-30,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-01,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-02,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-03,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-04,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-05,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-06,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-07,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-08,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-09,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-10,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-11,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-12,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-13,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-14,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-15,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-16,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-17,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-18,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-19,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-20,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-21,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-22,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-23,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-24,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-25,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-26,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-27,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-28,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-29,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-30,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2023-12-31,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-01,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-02,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-03,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-04,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-05,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-06,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-07,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-08,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-09,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-10,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-11,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-12,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-13,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-14,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-15,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-16,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-17,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-18,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-19,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-20,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-21,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-22,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-23,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-24,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-25,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
2024-01-26,,Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card (11350-03-20G) - PCPartPicker
